OBJECTID,FID_EV_Charging_Suggestions,Name,Location,Date,Comments,CreationDate,NUMVOTES,COUNDIST,ZIPCODE,Longitude,Latitude
1,132,Kosmosdale,"Kosmos Cement; on the way to/from Fort Knox, Radcliffe, West Point, Muldraugh",10/26/17 14:53,,10/26/17 18:42,0,14,40272,-85.90833423,38.03736369
2,133,LG&E Mill Creek Station,Get your charge at the source!,10/26/17 14:53,,10/26/17 18:44,0,14,40272,-85.90905295,38.05494245
3,116,Jefferson Memorial Forest Welcome Center,"Park with hiking trails, fishing, activities",10/26/17 14:53,,10/26/17 17:23,1,13,40118,-85.76743176,38.08528006
4,234,Walmart Okolona,Walmart at Antle Drive and Standiford Plaza Drive,11/8/17 14:06,,11/8/17 14:10,1,13,40229,-85.66449424,38.08876795
5,130,Preston Crossings,Shopping; offices; stopping point to/from Bullitt County,10/26/17 14:53,,10/26/17 18:35,1,13,40229,-85.67026052,38.09241674
6,28,Dixie Highway at I-265 / Greenbelt Hwy and Bethany Ln,Convenient for travel to Fort Knox or Elizabethtown,10/26/17 14:53,,10/26/17 15:16,0,14,40272,-85.87420599,38.09550558
7,82,Riverside,"Historic home and event venue, access to Louisville Loop",10/26/17 14:53,,10/26/17 16:42,0,14,40272,-85.89680752,38.09787493
8,131,Bardstown Road at Thixton Lane,Stopping point to/from Mount Washington and Bardstown; apartments nearby,10/26/17 14:53,,10/26/17 18:38,0,20,40291,-85.56683787,38.10045173
9,89,Southwest Regional Library,,10/26/17 14:53,,10/26/17 16:50,1,25,40272,-85.86684722,38.10399111
10,23,McNeely Lake Park,"Place charging station(s) in area with playground, gazebo, and picnic tables.",10/26/17 13:37,,10/26/17 13:42,1,23,40229,-85.63663845,38.10600095
11,19,Rave Cinemas Preston Crossings 16,,10/19/17 20:07,,10/19/17 20:57,1,24,40229,-85.67127186,38.10806182
12,81,Valley Station High School,and Dixie Elementary school; stores nearby,10/26/17 14:53,,10/26/17 16:41,0,14,40272,-85.87049787,38.10807379
13,128,Fairdale High School,And businesses and church in walking distance,10/26/17 14:53,,10/26/17 18:24,1,13,40118,-85.75193091,38.1105661
14,83,JCTCS Southwest,College; hospital; schools nearby,10/26/17 14:53,,10/26/17 16:43,0,25,40272,-85.84319302,38.11350697
15,232,SOUTHWEST REGIONAL LIBRARY,,11/7/17 1:22,,11/7/17 1:30,0,25,40272,-85.86032848,38.11437618
16,95,Turkey Run Park,"Access to park facilities, walking trails, Louisville Loop",10/26/17 14:53,,10/26/17 17:00,1,20,40291,-85.53337501,38.11603255
17,168,Outer Loop at New Cut Road,"Easy access from Outer Loop, New Cut Rd., I-265; large stores, smaller businesses",10/26/17 14:53,,10/26/17 20:01,1,13,40214,-85.77640272,38.12670583
18,79,Southern High School,and St. Rita church and elementary school across the road,10/26/17 14:53,,10/26/17 16:38,1,24,40219,-85.68293431,38.12683597
19,182,Shopping Plaza,"Charge while eating at restaurants, shopping at stores or waiting at the Jefferson County Clerkâ€™s Office",10/26/17 20:19,,10/26/17 20:28,0,23,40291,-85.61297234,38.13675724
20,25,I-65 / Outer Loop interchange,Easy off/on spot for travelers.,10/26/17 14:53,,10/26/17 14:59,2,13,40219,-85.69961849,38.13710409
21,198,ValueMarket Grocery Store,,10/26/17 20:19,,10/26/17 21:23,2,23,40228,-85.6203851,38.13907627
22,18,Jefferson Mall Food Court Entrance,EV charging stations located near the Food Court entrance,10/19/17 20:07,,10/19/17 20:52,7,24,40219,-85.66918828,38.14055467
23,77,Moore High School,,10/26/17 14:53,,10/26/17 16:36,0,23,40228,-85.63894112,38.14093766
24,27,Bardstown Road at I-265,Convenient for travelers and shoppers at Kroger. etc.,10/26/17 14:53,,10/26/17 15:06,0,22,40291,-85.58522842,38.14396267
25,80,South Central Regional Library,Charge while you browse or research,10/26/17 14:53,,10/26/17 16:40,3,24,40219,-85.67509105,38.14413273
26,176,Southwest Government Center,Easy access; government center; small businesses nearby,10/26/17 14:53,,10/26/17 20:17,3,12,40258,-85.83825632,38.14573786
27,84,PRP High School,and Greenwood Elementary,10/26/17 14:53,,10/26/17 16:44,0,12,40258,-85.86245272,38.14599363
28,231,RIVERVIEW PARK,SPLASH PARK AND WALKING TRAILS,11/7/17 1:22,,11/7/17 1:28,1,12,40258,-85.90200587,38.14778912
29,175,I-265 at Billtown Road,Easy access; two schools,10/26/17 14:53,,10/26/17 20:15,0,20,40299,-85.54911765,38.15054348
30,188,Doss High School,High school; elementary school; small businesses nearby,10/26/17 14:53,,10/26/17 20:37,0,25,40214,-85.811842,38.15317591
31,170,Preston Highway at Fern Valley Road,Easy access; big stores; smaller businesses,10/26/17 14:53,,10/26/17 20:03,1,21,40219,-85.69719171,38.15662724
32,40,Ford Louisville Assembly Plant,"For Ford employees, some UPS employees, and employees and customers of other nearby businesses",10/26/17 14:53,,10/26/17 15:48,1,13,40213,-85.73166675,38.15700165
33,78,Fern Creek High School,,10/26/17 14:53,,10/26/17 16:37,0,22,40291,-85.59366703,38.15763708
34,135,RiverPort Central,Many employers nearby,10/26/17 14:53,,10/26/17 18:47,0,12,40258,-85.89396968,38.15803475
35,43,Iroquois Amphitheater,Change while visiting the park or attending a performance,10/26/17 14:53,,10/26/17 15:53,5,15,40214,-85.77929003,38.15871629
36,154,Appliance Park South,Large employer; many small businesses nearby,10/26/17 14:53,,10/26/17 19:30,2,24,40225,-85.65060882,38.16128345
37,171,Preston Highway at Indian Trail,Easy access; shopping center; more small businesses,10/26/17 14:53,,10/26/17 20:04,0,2,40219,-85.69946491,38.16161114
38,115,UPS WorldPort,Major employer,10/26/17 14:53,,10/26/17 17:21,1,13,40213,-85.72940899,38.16279381
39,187,Holy Cross High School,High school; gym; restaurants; other businesses in walking distance,10/26/17 14:53,,10/26/17 20:35,1,12,40216,-85.831748,38.16555841
40,153,Mercy Academy,High school; large and small employers across the road,10/26/17 14:53,,10/26/17 19:29,1,2,40228,-85.63990494,38.16769374
41,229,KROGER,KROGER AND COUNTY CLERKS OFFICE,11/7/17 1:22,,11/7/17 1:23,2,3,40216,-85.82629012,38.16826018
42,172,Preston Highway at Indian Trail,Easy access; shopping center; more small businesses,10/26/17 14:53,,10/26/17 20:06,0,2,40219,-85.70546974,38.16835652
43,151,Bardstown Road at Hurstbourne Parkway,Easy access; shopping center,10/26/17 14:53,,10/26/17 19:26,2,22,40291,-85.6047993,38.16844074
44,191,Vettiner Golf Course,,10/26/17 14:53,,10/26/17 20:45,1,20,40299,-85.5672596,38.16976123
45,88,Technology Park,Multiple large employers,10/26/17 14:53,,10/26/17 16:48,0,21,40214,-85.75650734,38.17044703
46,169,Poplar Level Road at Indian Trail,Easy access; small businesses; school close by,10/26/17 14:53,,10/26/17 20:02,0,2,40213,-85.68528566,38.17165048
47,87,Iroquois High School,and Olmsted Academy South; short walk to Iroquois Park,10/26/17 14:53,,10/26/17 16:47,1,21,40215,-85.78053997,38.17179568
48,15,GE Plant,,10/13/17 16:44,,10/13/17 16:48,1,2,40225,-85.64467564,38.17644017
49,117,Taylorsville Lake Road at Routt Road,Stop on the way to Taylorsville and Taylorsville Lake,10/26/17 14:53,,10/26/17 17:25,1,20,40023,-85.46384814,38.17675765
50,85,Western High School,and Waller Environmental School,10/26/17 14:53,,10/26/17 16:45,0,3,40216,-85.84329912,38.17762125
51,42,Saints Mary & Elizabeth,"For staff, outpatients, and visitors of Sts. Mary & Elizabeth Hospital, ICF/MR, Hazelwood Elementary",10/26/17 14:53,,10/26/17 15:52,1,15,40215,-85.79271387,38.17936647
52,134,LG&E Cane Run Generating Station,,10/26/17 14:53,,10/26/17 18:45,0,1,40216,-85.88933813,38.18145631
