Name,Zip_Code,Num_Votes,Votes_Percentage_of_Total,Longitude,Latitude,Zip_Age,Zip_Population,Zip_Income,Zip_Income_National_Rank,Zip_Total_Income,Income_Group,Age_Group,Zip_Population_Size
Walmart Okolona,40229,1,0.0026,-85.66449424,38.08876795,34.8,37629,44068,8862,1658234772,Medium Income,Younger,Large
Preston Crossings,40229,1,0.0026,-85.67026052,38.09241674,34.8,37629,44068,8862,1658234772,Medium Income,Younger,Large
McNeely Lake Park,40229,1,0.0026,-85.63663845,38.10600095,34.8,37629,44068,8862,1658234772,Medium Income,Younger,Large
Rave Cinemas Preston Crossings 16,40229,1,0.0026,-85.67127186,38.10806182,34.8,37629,44068,8862,1658234772,Medium Income,Younger,Large
Southwest Regional Library,40272,1,0.0026,-85.86684722,38.10399111,38.3,37829,41245,10957,1560257105,Medium Income,Mid-Aged,Large
Turkey Run Park,40291,1,0.0026,-85.53337501,38.11603255,37.7,37772,53250,4613,2011359000,High Income,Mid-Aged,Large
Bardstown Road at Hurstbourne Parkway,40291,2,0.0051,-85.6047993,38.16844074,37.7,37772,53250,4613,2011359000,High Income,Mid-Aged,Large
Outer Loop at New Cut Road,40214,1,0.0026,-85.77640272,38.12670583,36.2,47343,34385,18157,1627889055,Medium Income,Mid-Aged,Large
Iroquois Amphitheater,40214,5,0.0128,-85.77929003,38.15871629,36.2,47343,34385,18157,1627889055,Medium Income,Mid-Aged,Large
I-264 at 3rd Street,40214,2,0.0051,-85.76646685,38.1913546,36.2,47343,34385,18157,1627889055,Medium Income,Mid-Aged,Large
Southern High School,40219,1,0.0026,-85.68293431,38.12683597,36.7,38626,37078,14864,1432174828,Medium Income,Mid-Aged,Large
I-65 / Outer Loop interchange,40219,2,0.0051,-85.69961849,38.13710409,36.7,38626,37078,14864,1432174828,Medium Income,Mid-Aged,Large
Jefferson Mall Food Court Entrance,40219,7,0.0179,-85.66918828,38.14055467,36.7,38626,37078,14864,1432174828,Medium Income,Mid-Aged,Large
South Central Regional Library,40219,3,0.0077,-85.67509105,38.14413273,36.7,38626,37078,14864,1432174828,Medium Income,Mid-Aged,Large
Preston Highway at Fern Valley Road,40219,1,0.0026,-85.69719171,38.15662724,36.7,38626,37078,14864,1432174828,Medium Income,Mid-Aged,Large
ValueMarket Grocery Store,40228,2,0.0051,-85.6203851,38.13907627,38.6,17161,50628,5628,868827108,High Income,Mid-Aged,Medium
Mercy Academy,40228,1,0.0026,-85.63990494,38.16769374,38.6,17161,50628,5628,868827108,High Income,Mid-Aged,Medium
Southwest Government Center,40258,3,0.0077,-85.83825632,38.14573786,37.6,27221,40658,11476,1106751418,Medium Income,Mid-Aged,Medium
Riverview Park,40258,1,0.0026,-85.90200587,38.14778912,37.6,27221,40658,11476,1106751418,Medium Income,Mid-Aged,Medium
Ford Louisville Assembly Plant,40213,1,0.0026,-85.73166675,38.15700165,37.2,17360,32167,20746,558419120,Medium Income,Mid-Aged,Medium
UPS WorldPort,40213,1,0.0026,-85.72940899,38.16279381,37.2,17360,32167,20746,558419120,Medium Income,Mid-Aged,Medium
Main Post Office,40213,1,0.0026,-85.69486193,38.19736756,37.2,17360,32167,20746,558419120,Medium Income,Mid-Aged,Medium
Zoo,40213,9,0.0231,-85.71018119,38.20642117,37.2,17360,32167,20746,558419120,Medium Income,Mid-Aged,Medium
Louisville Nature Center,40213,2,0.0051,-85.71131307,38.20959967,37.2,17360,32167,20746,558419120,Medium Income,Mid-Aged,Medium
Holy Cross High School,40216,1,0.0026,-85.831748,38.16555841,39.5,43454,35142,17356,1527060468,Medium Income,Mid-Aged,Large
Kroger,40216,2,0.0051,-85.82629012,38.16826018,39.5,43454,35142,17356,1527060468,Medium Income,Mid-Aged,Large
Cane Run Park,40216,1,0.0026,-85.85851636,38.1832226,39.5,43454,35142,17356,1527060468,Medium Income,Mid-Aged,Large
Butler High School,40216,1,0.0026,-85.81518324,38.19361636,39.5,43454,35142,17356,1527060468,Medium Income,Mid-Aged,Large
Vettiner Golf Course,40299,1,0.0026,-85.5672596,38.16976123,39.3,39745,55884,3895,2221109580,High Income,Mid-Aged,Large
Jeffersontown Downtown,40299,2,0.0051,-85.56499214,38.19359833,39.3,39745,55884,3895,2221109580,High Income,Mid-Aged,Large
Hurstbourne Parkway at Six Mile Lane,40299,2,0.0051,-85.60392072,38.19721666,39.3,39745,55884,3895,2221109580,High Income,Mid-Aged,Large
Blankenbaker Parkway at I-64,40299,1,0.0026,-85.5384717,38.21726048,39.3,39745,55884,3895,2221109580,High Income,Mid-Aged,Large
I-64 / Blankenbaker Pkwy interchange,40299,2,0.0051,-85.54090284,38.22630127,39.3,39745,55884,3895,2221109580,High Income,Mid-Aged,Large
Iroquois High School,40215,1,0.0026,-85.78053997,38.17179568,33.1,22485,23358,29169,525204630,Medium Income,Younger,Medium
Saints Mary & Elizabeth,40215,1,0.0026,-85.79271387,38.17936647,33.1,22485,23358,29169,525204630,Medium Income,Younger,Medium
I-264 at Taylor Boulevard / Wyandotte Park,40215,1,0.0026,-85.78316358,38.18987252,33.1,22485,23358,29169,525204630,Medium Income,Younger,Medium
Airport,40209,8,0.0205,-85.74235111,38.18676858,36.5,414,20250,30466,8383500,Medium Income,Mid-Aged,Tiny
I-264 at Crittenden Drive,40209,1,0.0026,-85.7510803,38.19109067,36.5,414,20250,30466,8383500,Medium Income,Mid-Aged,Tiny
Fairgrounds,40209,2,0.0051,-85.74237003,38.19828312,36.5,414,20250,30466,8383500,Medium Income,Mid-Aged,Tiny
Papa John's Cardinal Stadium,40209,1,0.0026,-85.7578178,38.2010273,36.5,414,20250,30466,8383500,Medium Income,Mid-Aged,Tiny
Breckenridge Plaza,40220,1,0.0026,-85.62371632,38.199663,40.3,34176,47288,7050,1616114688,Medium Income,Older,Large
Taylorsville Road at Hurstbourne Parkway,40220,1,0.0026,-85.59369948,38.21390298,40.3,34176,47288,7050,1616114688,Medium Income,Older,Large
JCPS Headquarters,40218,1,0.0026,-85.68512619,38.20000518,34.8,31919,32984,19757,1052816296,Medium Income,Younger,Large
Bashford Manor,40218,1,0.0026,-85.66735326,38.20107879,34.8,31919,32984,19757,1052816296,Medium Income,Younger,Large
Churchill Downs,40208,1,0.0026,-85.77243313,38.20499615,25.9,11645,24041,28786,279957445,Medium Income,Younger,Small
U of L East,40208,3,0.0077,-85.75484164,38.21697185,25.9,11645,24041,28786,279957445,Medium Income,Younger,Small
U of L West,40208,2,0.0051,-85.76339431,38.21951612,25.9,11645,24041,28786,279957445,Medium Income,Younger,Small
7th Street at Industry Road,40208,1,0.0026,-85.77534124,38.22121567,25.9,11645,24041,28786,279957445,Medium Income,Younger,Small
Dupont Manual High School,40208,2,0.0051,-85.7572847,38.22260742,25.9,11645,24041,28786,279957445,Medium Income,Younger,Small
Atherton High School,40205,2,0.0051,-85.68774094,38.21306394,42.0,23002,51244,5378,1178714488,High Income,Older,Medium
Assumption High School,40205,1,0.0026,-85.67678105,38.21700325,42.0,23002,51244,5378,1178714488,High Income,Older,Medium
