Name,Num_Votes,Zip_Code,Longitude,Latitude,Population,Age,AVG_Income
Walmart Okolona,1,40229,-85.66449424,38.08876795,37629,34.8,44068.0
Preston Crossings,1,40229,-85.67026052,38.09241674,37629,34.8,44068.0
McNeely Lake Park,1,40229,-85.63663845,38.10600095,37629,34.8,44068.0
Rave Cinemas Preston Crossings 16,1,40229,-85.67127186,38.10806182,37629,34.8,44068.0
Southwest Regional Library,1,40272,-85.86684722,38.10399111,37829,38.3,41245.0
Turkey Run Park,1,40291,-85.53337501,38.11603255,37772,37.7,53250.0
Bardstown Road at Hurstbourne Parkway,2,40291,-85.6047993,38.16844074,37772,37.7,53250.0
Outer Loop at New Cut Road,1,40214,-85.77640272,38.12670583,47343,36.2,34385.0
Iroquois Amphitheater,5,40214,-85.77929003,38.15871629,47343,36.2,34385.0
I-264 at 3rd Street,2,40214,-85.76646685,38.1913546,47343,36.2,34385.0
Southern High School,1,40219,-85.68293431,38.12683597,38626,36.7,37078.0
I-65 / Outer Loop interchange,2,40219,-85.69961849,38.13710409,38626,36.7,37078.0
Jefferson Mall Food Court Entrance,7,40219,-85.66918828,38.14055467,38626,36.7,37078.0
South Central Regional Library,3,40219,-85.67509105,38.14413273,38626,36.7,37078.0
Preston Highway at Fern Valley Road,1,40219,-85.69719171,38.15662724,38626,36.7,37078.0
ValueMarket Grocery Store,2,40228,-85.6203851,38.13907627,17161,38.6,50628.0
Mercy Academy,1,40228,-85.63990494,38.16769374,17161,38.6,50628.0
Southwest Government Center,3,40258,-85.83825632,38.14573786,27221,37.6,40658.0
RIVERVIEW PARK,1,40258,-85.90200587,38.14778912,27221,37.6,40658.0
Ford Louisville Assembly Plant,1,40213,-85.73166675,38.15700165,17360,37.2,32167.0
UPS WorldPort,1,40213,-85.72940899,38.16279381,17360,37.2,32167.0
Main Post Office,1,40213,-85.69486193,38.19736756,17360,37.2,32167.0
Zoo,9,40213,-85.71018119,38.20642117,17360,37.2,32167.0
Louisville Nature Center,2,40213,-85.71131307,38.20959967,17360,37.2,32167.0
Holy Cross High School,1,40216,-85.831748,38.16555841,43454,39.5,35142.0
KROGER,2,40216,-85.82629012,38.16826018,43454,39.5,35142.0
Cane Run Park,1,40216,-85.85851636,38.1832226,43454,39.5,35142.0
Butler High School,1,40216,-85.81518324,38.19361636,43454,39.5,35142.0
Vettiner Golf Course,1,40299,-85.5672596,38.16976123,39745,39.3,55884.0
Jeffersontown Downtown,2,40299,-85.56499214,38.19359833,39745,39.3,55884.0
Hurstbourne Parkway at Six Mile Lane,2,40299,-85.60392072,38.19721666,39745,39.3,55884.0
Blankenbaker Parkway at I-64,1,40299,-85.5384717,38.21726048,39745,39.3,55884.0
