name,num_votes,coun_dist,zip_code,longitude,latitude
Kosmosdale,0,14,40272,-85.90833423,38.03736369
LG&E Mill Creek Station,0,14,40272,-85.90905295,38.05494245
Jefferson Memorial Forest Welcome Center,1,13,40118,-85.76743176,38.08528006
Walmart Okolona,1,13,40229,-85.66449424,38.08876795
Preston Crossings,1,13,40229,-85.67026052,38.09241674
Dixie Highway at I-265 / Greenbelt Hwy and Bethany Ln,0,14,40272,-85.87420599,38.09550558
Riverside,0,14,40272,-85.89680752,38.09787493
Bardstown Road at Thixton Lane,0,20,40291,-85.56683787,38.10045173
Southwest Regional Library,1,25,40272,-85.86684722,38.10399111
McNeely Lake Park,1,23,40229,-85.63663845,38.10600095
Rave Cinemas Preston Crossings 16,1,24,40229,-85.67127186,38.10806182
Valley Station High School,0,14,40272,-85.87049787,38.10807379
Fairdale High School,1,13,40118,-85.75193091,38.1105661
JCTCS Southwest,0,25,40272,-85.84319302,38.11350697
SOUTHWEST REGIONAL LIBRARY,0,25,40272,-85.86032848,38.11437618
Turkey Run Park,1,20,40291,-85.53337501,38.11603255
Outer Loop at New Cut Road,1,13,40214,-85.77640272,38.12670583
Southern High School,1,24,40219,-85.68293431,38.12683597
Shopping Plaza,0,23,40291,-85.61297234,38.13675724
I-65 / Outer Loop interchange,2,13,40219,-85.69961849,38.13710409
ValueMarket Grocery Store,2,23,40228,-85.6203851,38.13907627
Jefferson Mall Food Court Entrance,7,24,40219,-85.66918828,38.14055467
Moore High School,0,23,40228,-85.63894112,38.14093766
Bardstown Road at I-265,0,22,40291,-85.58522842,38.14396267
South Central Regional Library,3,24,40219,-85.67509105,38.14413273
Southwest Government Center,3,12,40258,-85.83825632,38.14573786
PRP High School,0,12,40258,-85.86245272,38.14599363
RIVERVIEW PARK,1,12,40258,-85.90200587,38.14778912
I-265 at Billtown Road,0,20,40299,-85.54911765,38.15054348
Doss High School,0,25,40214,-85.811842,38.15317591
Preston Highway at Fern Valley Road,1,21,40219,-85.69719171,38.15662724
Ford Louisville Assembly Plant,1,13,40213,-85.73166675,38.15700165
Fern Creek High School,0,22,40291,-85.59366703,38.15763708
RiverPort Central,0,12,40258,-85.89396968,38.15803475
Iroquois Amphitheater,5,15,40214,-85.77929003,38.15871629
Appliance Park South,2,24,40225,-85.65060882,38.16128345
Preston Highway at Indian Trail,0,2,40219,-85.69946491,38.16161114
UPS WorldPort,1,13,40213,-85.72940899,38.16279381
Holy Cross High School,1,12,40216,-85.831748,38.16555841
Mercy Academy,1,2,40228,-85.63990494,38.16769374
KROGER,2,3,40216,-85.82629012,38.16826018
Preston Highway at Indian Trail,0,2,40219,-85.70546974,38.16835652
Bardstown Road at Hurstbourne Parkway,2,22,40291,-85.6047993,38.16844074
Vettiner Golf Course,1,20,40299,-85.5672596,38.16976123
Technology Park,0,21,40214,-85.75650734,38.17044703
Poplar Level Road at Indian Trail,0,2,40213,-85.68528566,38.17165048
Iroquois High School,1,21,40215,-85.78053997,38.17179568
GE Plant,1,2,40225,-85.64467564,38.17644017
Taylorsville Lake Road at Routt Road,1,20,40023,-85.46384814,38.17675765
Western High School,0,3,40216,-85.84329912,38.17762125
Saints Mary & Elizabeth,1,15,40215,-85.79271387,38.17936647
LG&E Cane Run Generating Station,0,1,40216,-85.88933813,38.18145631
Bardstown Road at Breckenridge Lane,0,2,40218,-85.62688905,38.18147677
Dixie Highway at I-264,0,3,40216,-85.81596974,38.18216927
Cane Run Park,1,1,40216,-85.85851636,38.1832226
Male High School,0,21,40213,-85.72254432,38.18506506
Parklands,0,20,40299,-85.48283927,38.18590973
Airport,8,21,40209,-85.74235111,38.18676858
I-265 at Taylorsville Road,0,20,40299,-85.51638473,38.18809279
I-264 at Crittenden Drive - Post Office,0,21,40209,-85.75141524,38.18919191
Preston Highway at I-264,0,21,40213,-85.72197702,38.18944758
I-264 at Taylor Boulevard / Wyandotte Park,1,15,40215,-85.78316358,38.18987252
I-264 at Crittenden Drive,1,21,40209,-85.7510803,38.19109067
I-264 at 3rd Street,2,15,40214,-85.76646685,38.1913546
Jeffersontown Downtown,2,20,40299,-85.56499214,38.19359833
Butler High School,1,3,40216,-85.81518324,38.19361636
7th Street Road / Manslick Road / Berry Boulevard,0,3,40216,-85.79923159,38.19658069
Hurstbourne Parkway at Six Mile Lane,2,11,40299,-85.60392072,38.19721666
Main Post Office,1,10,40213,-85.69486193,38.19736756
Fairgrounds,2,21,40209,-85.74237003,38.19828312
Buechel,0,10,40218,-85.66017353,38.19858935
Tradewinds West,0,1,40216,-85.83624713,38.19915924
Breckenridge Plaza,1,26,40220,-85.62371632,38.199663
JCPS Headquarters,1,10,40218,-85.68512619,38.20000518
Audubon Country Club,0,10,40213,-85.72815559,38.20024054
Papa John's Cardinal Stadium,1,15,40209,-85.7578178,38.2010273
Bashford Manor,1,10,40218,-85.66735326,38.20107879
Jeffersontown High School,0,11,40299,-85.58271221,38.20132723
Mega Cavern,0,10,40213,-85.70418367,38.20161163
I-264 at Cane Run Road,0,3,40216,-85.83114441,38.20390312
Churchill Downs,1,15,40208,-85.77243313,38.20499615
Patterson Stadium at U of Louisville,0,15,40208,-85.76315089,38.20504439
Zoo,9,10,40213,-85.71018119,38.20642117
Seneca High School,0,26,40220,-85.65722522,38.20827856
Louisville Nature Center,2,10,40213,-85.71131307,38.20959967
Rubbertown Central,0,1,40211,-85.83948021,38.21221495
Atherton High School,2,8,40205,-85.68774094,38.21306394
Taylorsville Road at Hurstbourne Parkway,1,11,40220,-85.59369948,38.21390298
Sullivan U. / Farmington,0,26,40205,-85.66969294,38.21398645
Audubon Hospital,2,10,40217,-85.72230391,38.21399653
Eastern Parkway at Preston Street,4,15,40217,-85.74318024,38.21442469
U of L East,3,6,40208,-85.75484164,38.21697185
Assumption High School,1,8,40205,-85.67678105,38.21700325
Blankenbaker Parkway at I-64,1,20,40299,-85.5384717,38.21726048
